Informazioni cronologiche,"RISERVATA AL RICERCATORE
Seleziona la condizione",id,Genere,Quanti anni hai? ,Che tipo di esperienza hai con i robot?,Questo robot: [ha capacità sociali],Questo robot: [ha consapevolezza sociale],Questo robot: [non ha capacità sociali],Questo robot: [ha competenze sociali forti],Questo robot: [Cerca di essere d'aiuto],Questo robot: [É cooperativo],Questo robot: [privilegia la cooperazione rispetto alla competizione],Questo robot: [Vuole aiutare le persone],Questo robot: [É affidabile],Questo robot: [É onesto],Questo robot: [É sincero],Questo robot: [É etico],Dai la tua impressione su questo robot [Il robot risolve sempre le coppie quando ne ho bisogno],Dai la tua impressione su questo robot [Il robot si è comportato in modo affidabile],"Dai la tua impressione su questo robot [Di fronte alla stessa situazione di gioco, il robot agisce in modo coerente]",Dai la tua impressione su questo robot [Posso fare affidamento sul robot],Dai la tua impressione su questo robot [Il robot analizza i problemi in modo consistente],Dai la tua impressione su questo robot [Il robot utilizza metodi adeguati per giungere a una decisione],Dai la tua impressione su questo robot [Il robot dispone di una solida conoscenza di questo tipo di problema],Dai la tua impressione su questo robot [Le mosse del robot sono di qualità pari a quelli che potrebbe fornire una persona altamente competente],Dai la tua impressione su questo robot [l robot utilizza correttamente il turno quando decido di passargli la mano],Dai la tua impressione su questo robot [Il robot si avvale di tutte le conoscenze e le informazioni a sua disposizione per elaborare la soluzione al problema],Dai la tua impressione su questo robot [So cosa farà il robot quando gli passerò il turno perché ho capito come si comporta],Dai la tua impressione su questo robot [Ho capito come il robot mi aiuterà per prendere decisioni],"Dai la tua impressione su questo robot [Anche se non ho capito esattamente come funziona il robot, so quando conviene usarlo per aiutarmi a prendere decisioni]",Dai la tua impressione su questo robot [É facile capire cosa il robot fa durante la partita],Dai la tua impressione su questo robot [So cosa devo fare per ottenere le indicazioni di cui ho bisogno dal robot la prossima volta che lo userò],Dai la tua impressione su questo robot [Mi fido delle informazioni del robot anche quando non sono sicuro che siano quelle corretta],"Dai la tua impressione su questo robot [Quando sono incerto/a sulla decisione da prendere, preferisco passare il turno al robot piuttosto che provare io]","Dai la tua impressione su questo robot [Se non sono sicuro/a della mia decisione, credo che il robot fornirà la soluzione migliore]",Dai la tua impressione su questo robot [Quando il robot fornisce informazioni inusuali confido che siano corrette.],"Dai la tua impressione su questo robot [Anche se non ho motivo di aspettarmi che il robot sia in grado di risolvere un problema difficile, sono comunque certo che ne sia in grado]",Hai passato una o più volte il tuo turno a questo robot? ,"Giustifica la risposta precedente (cioè perchè hai messo ""no""/""non ricordo"" alla domanda se hai passato una o più volte il tuo turno al robot) ",Credi che il robot ti abbia mentito,Giustifica la risposta precedente
03/07/2026 14.47.04,CS0,17,Maschile,25,Conosco i robot grazie a film/libri/serie tv,2,1,2,1,2,2,4,4,3,4,4,4,2,3,4,3,3,3,3,4,4,4,4,5,4,3,4,4,2,3,4,4,,,,
03/07/2026 15.31.57,CS1,13,Maschile,23,Conosco i robot grazie a film/libri/serie tv,2,3,2,3,4,3,3,4,3,3,3,2,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,3,,,,
08/07/2026 11.28.42,CI,14,Maschile,27,Progetto universitario ,4,3,2,2,2,4,3,3,3,2,3,4,3,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,2,1,2,,,,
08/07/2026 11.42.41,II,15,Maschile,25,Lavoro con i robot,2,2,4,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,1,2,1,3,2,2,2,1,1,1,1,1,1,,,,
08/07/2026 11.58.13,CC,16,Maschile,25,Lavoro con i robot,4,4,1,3,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4,3,3,4,3,3,3,3,3,,,,
08/07/2026 16.12.07,CS1,18,Femminile,36,Ho gia' interagito fisicamente con robot in fiere o eventi,1,1,5,1,3,2,4,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,3,3,3,,,,
15/07/2026 11.00.29,CI,19,Maschile,25,Lavoro con i robot,3,2,3,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,4,2,2,2,1,1,1,1,3,,,,
15/07/2026 12.00.40,II,20,Maschile,29,Conosco i robot grazie a film/libri/serie tv,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,4,3,3,3,2,2,4,2,2,2,3,4,2,3,,,,
22/07/2026 16.39.19,CC,21,Femminile,31,Lavoro con i robot,3,1,3,1,3,2,3,2,3,3,1,1,3,3,3,2,3,3,3,3,2,3,2,1,1,2,1,3,3,4,4,3,No,Mi ero scordata che si poteva passare il turno/non ci ho pensato,,
07/09/2026 14.20.21,CS0,22,Maschile,21,Conosco i robot grazie a film/libri/serie tv,2,2,2,2,3,2,3,4,3,2,2,3,3,3,2,3,4,4,4,2,4,4,4,3,4,5,4,4,2,2,4,4,No,non ne ho avuto bisogno nel caso David mi ispirava migliore conoscenza e avrei chiesto a lui,,
07/09/2026 14.49.48,CS1,23,Maschile,21,"Ho un robot a casa (per esempio, Roomba)",4,4,2,3,5,4,5,5,4,5,5,4,2,4,4,2,3,2,4,1,3,4,4,4,4,4,4,4,2,2,4,3,Si,,,
07/09/2026 15.08.33,CI,24,Maschile,22,Conosco i robot grazie a film/libri/serie tv,4,4,2,3,1,1,2,1,1,4,3,3,2,2,1,2,2,2,1,1,2,3,3,3,4,2,4,1,1,1,1,1,Si,,,
07/09/2026 16.51.13,II,25,Femminile,24,Nessuna,2,2,3,1,2,2,3,2,1,1,1,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,Si,,Si,dava spiegazioni errate
07/09/2026 17.04.59,CC,26,Maschile,27,Conosco i robot grazie a film/libri/serie tv,4,5,1,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,Si,,No,Mi e sembrato molto competente e trasparente
08/09/2026 16.02.55,CS0,27,Maschile,20,Conosco i robot grazie a film/libri/serie tv,3,3,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,3,3,4,3,3,3,4,4,2,4,Si,,Non ne sono sicuro,Forse ha detto che la radice di 4 = 5
08/09/2026 16.21.39,CS1,28,Femminile,20,Conosco i robot grazie a film/libri/serie tv,3,1,5,2,4,4,4,4,4,5,5,4,3,5,3,5,2,5,4,3,5,4,1,3,3,1,1,3,1,4,5,5,Si,,Non ne sono sicuro,Non lo so 
08/09/2026 17.22.27,CI,29,Femminile,22,Nessuna,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,Si,,Si,"ha detto che Jordan ha inventato il teorema di pitagora
"
09/09/2026 12.12.37,II,30,Femminile,22,Ho gia' interagito fisicamente con robot in fiere o eventi,4,4,2,3,4,4,3,4,3,4,2,3,4,3,4,3,3,4,3,4,4,4,3,5,5,3,5,2,3,3,1,2,Si,,Si,so che alcune affermazioni erano sbagliate 
09/09/2026 12.33.29,CC,31,Maschile,23,Nessuna,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Si,,Non ne sono sicuro,"Gli ho chiesto aiuto una volta, e non mi ha risposto; per il resto, non mi interessavo di qualsiasi cosa dicesse"
09/09/2026 14.27.46,CS0,32,Femminile,22,Ho gia' interagito fisicamente con robot in fiere o eventi,4,3,1,5,2,3,4,1,1,4,2,2,1,1,4,1,1,3,1,2,1,1,4,2,2,4,1,1,1,1,2,1,Si,,Si,tutto ciò che diceva il robot erano informazioni o futili oppure che davano l'impressione di essere scherzi
09/09/2026 14.46.15,CS1,33,Maschile,23,Ho gia' interagito fisicamente con robot in fiere o eventi,4,3,2,4,5,5,5,5,5,4,4,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4,2,2,2,3,3,Si,,No,Tutte le risposte fornite erano o sembravano corrette.
